qS1123,-1 46 -2;-1 5 -4;-1 4 -8;-1 2 -16;, 1, 9, 0.43156304499942016, 5, 3.436426116838488E-4, 0.007304161766423358, 0.009290224788990826, 0.007072414335664336, 0.005441305358695652, 0.005756843517241378, 0.008534436881355932, 0.009388900990654205, 0.011793028552941178, 0.010505820947916668, 0.005942192111764706, 0.006493472570512821, 0.010554400210526315, 0.006968380666666667, 0.014359861928571428, 0.007289674463768115, 8, 9, 1968, 6776, 8736, 6775, 1478, 3438, 34, 7, 8, 6, 7, 3928, 1967
qS499,-1 3 -2;-1 10 -4;-1 2 -8;-1 6 -16;, 0, 11, 0.7515422628071476, 2, 0.008693089730366877, 0.01083614635483871, 0.013202076662337664, 0.006816883231292517, 0.0073456847299270085, 0.008706915539130436, 0.0049228987352941175, 0.011383059044943822, 0.011710325023255815, 0.009690375533333333, 0.008853980078947369, 0.008246377583999999, 0.0036796108529411767, 0.004229789370833333, 0.007409910955555555, 0.00990491182178218, 140, 199, 1553, 81, 81, 5454, 199, 140, 1553, 2908, 1494, 6868, 5513, 1494, 2908
qS287,-1 4 -2;-1 10 -4;-1 8 -8;-1 47 -16;, 8, 10, 0.4340725349746894, 9, 0.43043214862681745, 0.028135055405405406, 0.032413135161290324, 0.0317764751875, 0.03185917434375, 0.03164504571875, 0.03811717181481482, 0.031184851363636364, 0.03343145506451613, 0.03272714864516129, 0.032346383451612906, 0.028645744666666664, 0.03037841375757576, 0.028478056944444448, 0.03328186365625, 0.038714147307692306, 9296, 12409, 8525, 4047, 3552, 6228, 10277, 6669, 6768, 2880, 3651, 5457, 9341, 2781, 2505
qS1101,-1 46 -2;-1 3 -4;-1 8 -8;-1 47 -16;, 0, 11, 0.7372567857014987, 4, 0.01692976435598261, 0.010381381242424242, 0.011544631876404494, 0.011838261811764707, 0.007966083476190475, 0.009352145336448597, 0.008493658322033899, 0.009638458666666665, 0.010003426000000001, 0.009484369452830188, 0.008221135401639344, 0.0089390895, 0.009405715822429906, 0.011646043639534883, 0.006293378099999999, 0.0077546341162790695, 119, 149, 823, 1122, 1827, 1152, 3741, 4416, 3628, 45, 54, 75, 114, 1463, 749
qS835,-1 4 -2;-1 8 -4;-1 47 -8;-1 6 -16;, 8, 12, 0.4912502058217904, 10, 0.6079064138765631, 0.03086206027272727, 0.034203922533333334, 0.03248167834375, 0.03570795896551724, 0.042565045120000006, 0.03805189137037037, 0.03906016665384615, 0.03882570244444444, 0.0405132814, 0.0505083037, 0.036448806964285714, 0.03589542032142857, 0.033378647000000004, 0.03576395267857142, 0.0341347658, 3552, 4047, 6231, 6669, 10281, 6768, 9304, 12421, 8533, 2505, 2781, 2880, 3651, 9348, 5460
qS763,-1 1 -2;-1 8 -4;-1 47 -8;-1 6 -16;, 0, 3, 0.1780220781686615, 0, 0.0, 0.005911761458823529, 0.00650737614935065, 0.0063759199171974515, 0.008621670767241378, 0.011843622199999999, 0.007476804828358209, 0.010820941989473686, 0.011998205357142858, 0.010340082577319587, 0.008143121080645162, 0.008352223266666665, 0.006827196265306123, 0.004593573509174312, 0.00509176771573604, 0.005860655695906433, 25, 29, 3559, 54, 87, 963, 68, 97, 677, 1248, 634, 1544, 934, 3588, 4170
qS112,-1 3 -2;-1 4 -4;-1 8 -8;-1 2 -16;, 4, 11, 0.6327896402668304, 0, 0.0, 0.010172035464646465, 0.011320763866666667, 0.008405797252100842, 0.006747030127516779, 0.008712599196581195, 0.00904430463392857, 0.006464065006451613, 0.008139574772357725, 0.005113480583756345, 0.0043146719051724135, 0.004890958058536586, 0.008073769846774194, 0.007239095028169015, 0.004891865893203883, 0.0042181192899159664, 169, 175, 1229, 79, 71, 1806, 91, 77, 1533, 2984, 1535, 3429, 1986, 1139, 2596
qS248,-1 3 -2;-1 10 -4;-1 8 -8;-1 6 -16;, 0, 13, 0.7995916116952425, 2, 0.010080645161290322, 0.010313842381443299, 0.012118073192771084, 0.0091815476146789, 0.010059494158415842, 0.007094599098591549, 0.003505049283216783, 0.009722643834951456, 0.008087044146153848, 0.006904842503448277, 0.006076187896969697, 0.005078460762626263, 0.0031153022679127726, 0.0038402106973180073, 0.0062737505149700595, 0.006712133966442954, 128, 193, 1196, 63, 63, 5309, 193, 128, 1196, 2200, 1131, 6511, 5507, 1131, 2200
qS1147,-1 46 -2;-1 1 -4;-1 4 -8;-1 2 -16;, 1, 8, 0.5470933159236206, 2, 0.004570722668313774, 0.018302043181818183, 0.013223288532467533, 0.01496342071830986, 0.008197836852459017, 0.006405188201257862, 0.007772579713178294, 0.010777833838709677, 0.014106492450704226, 0.013666901554054055, 0.01278696629113924, 0.01886759659259259, 0.011992559847058824, 0.008405056521008404, 0.013904806863013697, 0.00843771762184874, 130, 79, 1722, 6544, 8137, 6493, 1252, 2896, 1303, 96, 144, 45, 42, 3329, 1688
qS29,-1 46 -2;-1 3 -4;-1 8 -8;-1 2 -16;, 0, 11, 0.7627069981655151, 4, 0.02612540192926045, 0.01025511274489796, 0.011438061238636362, 0.008660929786324786, 0.006678048546052633, 0.006452880535483872, 0.007859324790697673, 0.009745759174757281, 0.009384246486238533, 0.008797419859649122, 0.01034957104040404, 0.009557609641509434, 0.010521415375, 0.007425195081481481, 0.006898846668965517, 0.00735661563235294, 128, 134, 1196, 1131, 2200, 1137, 1488, 2551, 1349, 63, 63, 69, 75, 2200, 1131
qS908,-1 46 -2;-1 10 -4;-1 8 -8;-1 2 -16;, 5, 1, 0.12845880572268947, 6, 0.0759845890410959, 0.05647570333333333, 0.037637184259259264, 0.04045806928, 0.05711246433333333, 0.037124770814814814, 0.03522791717241379, 0.0397802125, 0.04065272244, 0.04092333656, 0.036449006785714284, 0.03161769715625, 0.04017167988, 0.05972180411764706, 0.03662906528571429, 0.04232090379166667, 7669, 8026, 7669, 3354, 3354, 3709, 4066, 3709, 3709, 3354, 3354, 3709, 4065, 3354, 3354
qS297,-1 46 -2;-1 9 -4;-1 3 -8;-1 6 -16;, 2, 11, 0.711404216735577, 9, 0.021137026239067054, 0.009740560867924528, 0.011955989178571427, 0.010778313734042554, 0.006762628315436242, 0.011944713835294118, 0.01076219825531915, 0.0059643055, 0.004876394086124402, 0.004455527278761062, 0.0042570363702127655, 0.005497266855614973, 0.0069590359375, 0.013423804306666665, 0.009860889617647058, 0.007729035446969697, 38, 71, 122, 90, 174, 122, 5474, 5494, 6, 6, 6, 38, 71, 174, 90
qS301,-1 46 -2;-1 9 -4;-1 1 -8;-1 4 -16;, 2, 7, 0.423814728877731, 9, 0.013416679371855466, 0.011673128360465116, 0.014453550457142856, 0.011369136375, 0.00910060701801802, 0.01681348695, 0.019553209519230768, 0.007256263007246376, 0.00534931789893617, 0.005769653125714286, 0.008943833348214286, 0.00754502362406015, 0.012514885425, 0.016863171083333333, 0.013637866810810811, 0.009231138227272728, 37, 71, 98, 57, 118, 90, 6569, 6532, 4284, 11, 10, 44, 77, 132, 72
qS826,-1 7 -2;-1 1 -4;-1 8 -8;-1 6 -16;, 0, 10, 0.3850483571444048, 2, 9.45179584120983E-4, 0.004558388153846154, 0.004789718599056604, 0.0037536217689530687, 0.004349075217391305, 0.0030704641319018403, 0.006500008376623377, 0.003506387024390244, 0.003159351109090909, 0.0036414014000000004, 0.005239871554973822, 0.00450293603587444, 0.004485186618834081, 0.006934716489655173, 0.003255909620578778, 0.0042106638067226886, 35, 37, 940, 938, 1844, 977, 1244, 2149, 1242, 33, 33, 72, 74, 1844, 938
qS909,-1 3 -2;-1 4 -4;-1 47 -8;-1 6 -16;, 4, 12, 0.9143341898742302, 0, 0.0, 0.015488767923076923, 0.01951439101923077, 0.013544344121621622, 0.01898218833962264, 0.01854161337037037, 0.00983202681372549, 0.01670482908333333, 0.017572258293103448, 0.012002514654761905, 0.012658479835443038, 0.011421514454545456, 0.008158896365853659, 0.009174544736363636, 0.014336986557142857, 0.010597914515463918, 243, 288, 3855, 183, 168, 6847, 263, 203, 4757, 9277, 4737, 11402, 6907, 3795, 8350
qS969,-1 10 -2;-1 4 -4;-1 47 -8;-1 6 -16;, 5, 8, 0.3609652501654289, 9, 0.5006510416666666, 0.14339724075, 0.15852972642857144, 0.172441144, 0.16471723342857142, 0.1567563742857143, 0.14883994257142857, 0.148089815, 0.14939109814285714, 0.1381033115, 0.207451727, 0.13531368225, 0.139671854625, 0.11573248255555556, 0.142019124, 0.12132652633333334, 16017, 18153, 15088, 12949, 12017, 15093, 16823, 13755, 14691, 13889, 13885, 16029, 18161, 12020, 12956
qS933,-1 9 -2;-1 8 -4;-1 2 -8;-1 6 -16;, 0, 12, 0.7452009877926952, 0, 0.0, 0.007452826588235295, 0.007398846258992806, 0.006040115560240964, 0.005171778231958762, 0.006232854689440993, 0.0031913149495268137, 0.005748623005747126, 0.009058592991071429, 0.008418519025210083, 0.003746875101123596, 0.004643591124423963, 0.002756502614325069, 0.004430850734513274, 0.0039403348385826775, 0.004697428962441314, 39, 39, 1498, 42, 45, 1146, 61, 64, 1165, 2248, 1143, 2248, 1143, 1501, 2603
qS1040,-1 7 -2;-1 1 -4;-1 47 -8;-1 6 -16;, 0, 5, 0.1811030290363454, 0, 0.0, 0.004588607468181819, 0.004386765289473684, 0.004929132280788177, 0.0067626175270270265, 0.005155501912371134, 0.006913317620689655, 0.003209568852564103, 0.003722947026022305, 0.0037201600772058824, 0.006836467425675676, 0.005824036482758621, 0.010824232301075268, 0.00885696910619469, 0.004809079851674641, 0.004244025224576272, 31, 35, 3563, 838, 1650, 879, 1242, 2050, 1269, 89, 58, 99, 72, 4371, 3590
qS590,-1 7 -2;-1 4 -4;-1 8 -8;-1 47 -16;, 5, 9, 0.5122115804150423, 13, 0.9534779691344218, 0.024394995926829265, 0.028318886555555558, 0.0267900375, 0.03276656370967742, 0.028312912694444445, 0.029662507441176468, 0.024529927634146343, 0.029930716294117646, 0.02444778687804878, 0.025951294153846154, 0.024409745560975606, 0.028883516399999996, 0.03035641978787879, 0.034678854620689654, 0.03409510306666667, 4493, 4305, 3722, 3651, 2880, 6768, 3322, 2739, 3510, 3552, 4047, 6669, 6976, 2505, 2781
qS915,-1 7 -2;-1 9 -4;-1 8 -8;-1 6 -16;, 0, 13, 0.91531969305251, 2, 0.0011714174150722373, 0.006267979319018405, 0.0059717034, 0.00500732788, 0.003882129887596899, 0.002695586191374663, 0.005192692497435897, 0.0040156361, 0.002452258585784314, 0.002139862918803419, 0.00510631918877551, 0.003665920161172161, 0.006649889777777778, 0.005958428351190476, 0.0032827082, 0.0036947165183823533, 42, 45, 1146, 1143, 2248, 1165, 1498, 2600, 1495, 39, 39, 61, 64, 2248, 1143
qS892,-1 46 -2;-1 9 -4;-1 10 -8;-1 47 -16;, 0, 12, 0.8289737253156974, 4, 0.0024231743584095166, 0.016912391633333336, 0.012565077262499998, 0.01239515588888889, 0.009036831387387386, 0.008073108798387097, 0.007449273837037037, 0.013458502680000001, 0.012718913848101266, 0.01667828453333333, 0.01886473551851852, 0.017887701508771933, 0.014577653231884058, 0.015216931742424243, 0.010909513782608696, 0.010029657030000002, 94, 83, 3753, 5491, 9151, 5480, 3745, 7416, 3756, 83, 94, 72, 72, 7413, 3742
qS243,-1 46 -2;-1 8 -4;-1 47 -8;-1 2 -16;, 2, 6, 0.5403021083103845, 6, 0.1831831831831832, 0.03631774739285714, 0.03516726193333333, 0.03410411713333333, 0.03681656585714286, 0.040512452000000004, 0.0342242938, 0.034948543206896554, 0.03851183662962963, 0.036437891, 0.03132517065625, 0.029049878057142858, 0.03144088063636363, 0.0315503189375, 0.03233033309677419, 0.026572133842105262, 2604, 2979, 2839, 5184, 5419, 5559, 3334, 3194, 2959, 2229, 2229, 2604, 2979, 2699, 2464
